name,jpName,se,time,skillLv,item,buy,sell
煮雞蛋,ゆでタマゴ,HP+120，RP+25%，HP上限+25，力量+2，對封印的抗性稍提升,3,15,每天健康蛋,940,470
粥,おかゆ,HP+50%，RP+50%，對疲勞的抗性少許提升,12,33,米飯，混合香料，火熱果實,36080,18040
葡萄果醬,ぶどうジャム,HP+30%，RP+40%，力量-8%，智力+12%,3,27,葡萄，葡萄，葡萄,900,450
葡萄酒,ぶどう酒,HP+50%，RP+60%，體力-15，智力-10%，會心一擊出現概率提升,3,18,葡萄，藍色妖姬，紫草，紅酒,6800,3400
熱牛奶,ホットミルク,HP+120，RP+25%，HP上限+30，體力+2，對毒的抗性略微提升,3,5,牛奶,900,450
熱牛奶,ホットミルク,HP+120，RP+25%，HP上限+30，體力+2，對毒的抗性略微提升,3,7,優質牛奶,900,450
熱牛奶,ホットミルク,HP+120，RP+25%，HP上限+30，體力+2，對毒的抗性略微提升,3,9,富鈣牛奶,900,450
熱巧克力,ホットチョコレート,HP+160，RP+30%，HP上限+50，體力+3，智力+2，對毒的抗性略微提升,3,12,巧克力,360,180
橘皮果醬,オレンジマーマレード,HP+30%，RP+40%，力量-2%，智力+10%,3,24,橘子，橘子，橘子,780,390
燉菜,シチュー,HP+70%，RP+70%，HP上限+50%，力量-12%，體力+14，水、地、風、光屬性傷害減半,12,58,小麥粉，馬鈴薯，胡蘿蔔，洋蔥，優質牛奶,10340,5170
燉菜,シチュー,HP+70%，RP+70%，HP上限+50%，力量-12%，體力+14，水、地、風、光屬性傷害減半,12,64,小麥粉，馬鈴薯，胡蘿蔔，洋蔥，富鈣牛奶,10340,5170
蘋果果醬,りんごジャム,HP+30%，RP+40%，力量-12%，體力+2，智力+12%,3,23,蘋果，蘋果，蘋果,600,300
蘿蔔燉湯/味增田樂燒,みそ田楽,HP+40%，RP+80，RP上限+80，智力+4,6,36,蘿蔔,1780,890
