name,jpName,se,time,skillLv,item,buy,sell
蛋包捲/煎雞蛋,卵焼き,HP+35%，RP+40%，體力+6，智力+3，受到會心一擊概率略微下降,6,30,蛋,1100,550
蛋包捲/煎雞蛋,卵焼き,HP+35%，RP+40%，體力+6，智力+3，受到會心一擊概率略微下降,6,33,優質蛋,1100,550
蛋包捲/煎雞蛋,卵焼き,HP+35%，RP+40%，體力+6，智力+3，受到會心一擊概率略微下降,6,36,每天健康蛋,1100,550
蛋包飯/蛋炒飯,オムライス,HP+50%，RP+60%，體力+13，智力+6，受到會心一擊概率少許下降,12,39,煎蛋/菜肉蛋卷，米飯，番茄醬,12880,6440
意式菜飯,リゾット,HP+40%，RP+40%，體力-50%，全屬性抗性+1,12,39,油，米飯，洋蔥，番茄，托伊藥草,7780,3890
煎蛋/菜肉蛋卷,オムレツ,HP+45%，RP+50%，力量-4，體力+9，智力+4，受到會心一擊概率少許下降,6,32,牛奶，蛋,2420,1210
煎蛋/菜肉蛋卷,オムレツ,HP+45%，RP+50%，力量-4，體力+9，智力+4，受到會心一擊概率少許下降,6,34,優質牛奶，優質蛋,2420,1210
煎蛋/菜肉蛋卷,オムレツ,HP+45%，RP+50%，力量-4，體力+9，智力+4，受到會心一擊概率少許下降,6,36,富鈣牛奶，每天健康蛋,2420,1210
煎餅/烤餅,ホットケーキ,HP+240，RP+45%，RP上限+25%，智力+4，對毒、麻痹、封印、睡眠的抗性略微提升,6,22,小麥粉，蜂蜜，甘甜粉，優質牛奶，優質蛋,8020,4010
煎餅/烤餅,ホットケーキ,HP+240，RP+45%，RP上限+25%，智力+4，對毒、麻痹、封印、睡眠的抗性略微提升,6,24,小麥粉，蜂蜜，甘甜粉，富鈣牛奶，每天健康蛋,8020,4010
照燒金槍魚,マグロの照り焼き,HP+60%，RP+50%，HP上限+30%，RP上限+18%，力量+16%，體力-6,6,48,蘿蔔，金槍魚,37820,18910
照燒鰤魚,ブリの照り焼き,HP+55%，RP+25%，力量+8，體力+6,6,40,蘿蔔，鰤魚,29360,14680
餃子,ぎょうざ,HP+30%，RP+40%，HP上限-40，力量+4，體力+1，智力+2,6,25,油，小麥粉，洋蔥，捲心菜,6760,3380
蔬菜雜燴/炒蔬菜,野菜いため,HP+40%，RP+55%，力量+6,6,31,胡蘿蔔，油，捲心菜，青椒，洋蔥,9600,4800
整烤哲羅魚,イトウの姿焼き,HP+50%，RP+40%，力量+18,6,31,哲羅魚,34900,17450
整烤銀鯽魚,ギンブナの姿焼き,HP+50%，RP+45%，力量+9,6,34,銀鯽魚/銀鮒魚,1060,530
整烤龍蝦,ロブスターの姿焼き,HP+55%，RP+40%，力量-1%，智力+10%,6,34,龍蝦,1620,810
整烤鮮蝦,エビの姿焼き,HP+240，RP+50%，力量-4%，智力+5%,6,22,蝦,600,300
整烤鯽魚,ヘラブナの姿焼き,HP+50%，RP+45%，力量+6，體力-1,6,24,鯽魚,320,160
醬烤茄子/淋汁茄子,なす田楽,HP+20%，RP+35%，力量-2，體力+3,6,34,茄子,1520,760
雜菜煎餅,お好み焼き,HP+40%，RP+60%，HP上限+20%，RP上限+10%，力量+2，體力+8,12,28,油，小麥粉，捲心菜，蛋,5480,2740
雜菜煎餅,お好み焼き,HP+40%，RP+60%，HP上限+20%，RP上限+10%，力量+2，體力+8,12,29,油，小麥粉，捲心菜，優質蛋,5480,2740
雜菜煎餅,お好み焼き,HP+40%，RP+60%，HP上限+20%，RP上限+10%，力量+2，體力+8,12,30,油，小麥粉，捲心菜，每天健康蛋,5480,2740
爆玉米花,ポップコーン,HP+60，RP+20%，RP上限+15%，力量+1，體力+2,3,27,玉米,1220,610
麵包圈/甜甜圈,ドーナツ,HP+20，RP+40%，力量-2，體力+12，智力-8，對封印、睡眠的抗性少許提升,6,35,油，小麥粉，黃油，優質蛋,5620,2810
麵包圈/甜甜圈,ドーナツ,HP+35%，RP+40%，力量-2，體力+12，智力-8，對封印、睡眠的抗性少許提升,6,37,油，小麥粉，黃油，每天健康蛋,5620,2810
鰹魚片,土佐造り,HP+25%，RP+25%，力量+4，體力-2，智力+1，風屬性抗性+1,6,33,鰹魚,1520,760
鹽烤公魚,ワカサギの塩焼き,HP+10%，RP+25%，力量+4，智力+1,6,21,公魚,140,70
鹽烤秋刀魚,サンマの塩焼き,HP+35%，RP+25%，HP上限+15%，力量+3，體力-4，對封印的抗性略微提升,6,23,蘿蔔，秋刀魚,2360,1180
鹽烤真鱒魚,ヤマメの塩焼き,HP+20%，RP+20%，力量+2，體力+1，智力-1，會心一擊出現概率略微提升,6,23,真鱒魚,240,120
鹽烤針魚,サヨリの塩焼き,HP+15%，RP+20%，力量+7，體力-5，智力-4,6,27,針魚,280,140
鹽烤斑鲅魚,メジナの塩焼き,HP+45%，RP+40%，對吹飛的抗性少許提升,6,41,斑鲅魚,420,210
鹽烤雅羅魚,ウグイの塩焼き,HP+35%，RP+30%，力量+6,6,27,雅羅魚,1360,680
鹽烤鮭魚,塩ジャケ,HP+45%，RP+40%，HP上限+12%，力量+2，體力-7,6,30,鮭魚,580,290
鹽烤巖魚,イワナの塩焼き,HP+35%，RP+25%，力量+3，智力+1,6,12,巖魚,620,310
鹽烤鱒魚/鹽烤天魚,アマゴの塩焼き,HP+30%，RP+15%，力量+2，智力-1,6,17,鱒魚/天魚,200,100
