name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
雙勺,アクトリマッセ,,72,魔攻+80,,料理用のおたまを戦闘用に改良した武器。加工の過程で、なぜか両手に持つことに。手數も増やして、取れないアクはない。,33,鐵,鐵,漂亮的蜘蛛絲,,,,10300,640
狂暴雙刃,ランペイジ,,96,,,火力と手數で大暴れすることから、この名で呼ばれるようになった。その姿は、まさに嵐のようにはげしくクリティカルが出やすい。,35,短劍,金,蝎子的鉗子,豹爪,,,13000,3020
音速短劍,ソニックダガー,風,104,魔攻+55,,風の力をまとい、音速の斬撃を繰り出す細身の雙剣。風きり音が遅れて聞こえてくるという。,36,短劍,銀,風之結晶,鳥之羽,,,17630,3380
甜美之風,デザートウィンド,地風,115,魔攻+75,,美しくも強い、砂漠に吹く風をモチーフに改良を施された雙剣。見た目も美しく、人気が高い。,37,短劍,地之結晶,風之結晶,,,,18880,3840
雙蔥,ツインネッギ,,39,魔攻+39，力量+39，體力+39，智力+39,容易使對方氣絕,ネギ。そう、両手に持つのはネギ。そのネギでペシペシとダメージを與える、そういったコンセプトの雙剣。相手を気絶させやすい。,39,大蔥,大蔥,,,,,30939,3939
雙鬼丸,雙鬼丸,,126,,,鬼のような強さを得られるという雙剣。通常よりも刀身が長めに作られており、攻撃範囲が広く、毒の効果もある。,42,短劍,銀,蘑菇孢子,蘑菇孢子,蝎子的尾巴,,19950,4510
火焰心,ハートオブファイア,火,136,魔攻+80,,太陽と同じ熱さを持つ雙剣。火の原點ともされる象徴は、全てを灰に帰する力を持つとされる。,45,短劍,鐵,金,射手的火藥,射手的火藥,,23310,5060
原力分割,フォースディバイド,火水,145,魔攻+90,,火と水、ふたつの屬性をあわせ持つ雙剣。高い溫度差により相手の防具をもろくさせ、ダメージを與えていく。,49,短劍,銀,火之結晶,水之結晶,,,25000,5200
冥王之劍,オルクスソード,,150,,,刀身が長く作られており、距離を保ったまま數えられぬ斬撃を繰り出すことができる。攻撃回數を數えてみれば、眠れない夜もぐっすり眠れるかもしれない。,52,短劍,白金,戰士之證,戰士之證,,,34560,5280
暴風雪,ディープブリザード,水,167,魔攻+100,,剣の冷気が、周囲の水分を凍らせて刀身の形成を変化させる雙剣。少しおいしそうな形をしている。,56,短劍,白金,水之結晶,龜殼,龜殼,,40240,8480
混沌之刃,カオスエッジ,暗,172,魔攻+85,攻擊時有麻痹效果,魔の力を宿す雙剣、剣それぞれが兄弟となっており、持つに値しない使い手の場合、弟の方から罵られる。攻撃時、マヒの効果がある。,65,短劍,金,植物莖,蝎子的尾巴,維京護肩,,45000,9500
噬魂者,インバイトダクネス,暗,181,魔攻+90，HP吸收5%,,魂を喰らう魔剣。両手に持つ剣には、対象の生命力を奪う力がある。,68,短劍,白金,綠寶石,植物根,浮游靈的頭巾,,50800,9900
聖職之劍,プリーストセイバー,,195,魔攻+100，魔防+40,,神官が護身用に持つとされる雙剣。護身用と言えどもかなりの威力があり、確実に身を守ることができる。,72,短劍,白金,戰士之證,戰士之證,哥布林繃帶,貍貓樹葉,57600,10050
巨豪華之劍,ベリーゴージャス,,207,,,ゴージャスな雙剣。一本だけでもゴージャスなので、二本持てるのは、ゴージャスに選ばれしベリーゴージャスのみ。,74,豪華之劍,豪華之劍,,,,,72440,25000
火焰暴君,イフリート,火,217,魔攻+60,,高熱を帯び、熱波を放つ雙剣。剣を両手に持ったまま海に飛び込み、その海は全て蒸発したという伝説がある。,76,短劍,金,火之結晶,魔力結晶,魔力結晶,獅子的紅毛,102350,10380
龍爪,ドラグーンクロー,,243,,,三頭のドラゴンをかたどった雙剣。目を離すと、右手側の三本の刃が言い爭いを始めるが、左側の刃がそれを仲裁してくれる。,82,短劍,白金,豹爪,狼牙,鬥牛之角,,285850,11000
白金雙刃,プラチナエッジ,,256,,,純度の高いプラチナで作られた雙剣。かなりの切れ味と耐久性を誇る。二本持てば、さらにモテモテじゃないか、という発想から作られた。,87,短劍,銀,白金,白金,昆蟲的下顎,魔人之角,355600,13920
綠寶石之刃,エメラルドエッジ,風,270,魔攻+110,,さらなる強さを求め、強化した雙剣。加工の過程で、プラチナの強度が増し、緑色に発色している。,90,白金雙刃,銀,綠寶石,綠寶石,昆蟲的下顎,魔人之角,517800,30240
符文之刃,ルーンエッジ,光,285,魔攻+200,,ルーンの力を司る雙剣。輝くような軌跡は、見るものの願いを葉えると言う奇跡の雙剣。,94,短劍,白金,白金,白金,鑽石,妖精之粉,626880,29840
狂熱之刃,アーネストエッジ,,301,魔攻+100,容易使出會心一擊，給予對方致命一擊,一流の使い手が持てば、相手に攻撃する時間を與えずに勝利することができる。刀身が長く作られていて、クリティカルが出やすく、気絶もさせやすい。,95,短劍,白金,鑽石,龍牙,壞掉的柄,壞掉的柄,704940,31940
雙正義之刃,ツインジャスティス,,322,魔攻+160,,正義はひとつだけではない。両手にそれぞれの正義を持ち、信念を貫く人のための武器。,98,短劍,鑽石,鑽石,龍牙,龍牙,水龍的羽鰭,947260,41950
